field1,field2,field3
Lord Shiba’s Valor,"Once, in the Shadowlands, the Kami Shiba stood alone between a vast horde of its foul denizens and the last of the Seven Thunders after their victory against Fu Leng. Drawing the legendary sword Ofushikai, Shiba cut his way through the host to the First Oni. Legends say that their blades flashed for a hundred days, shattering mountains around them and cutting great rifts across the ground. In the end, each slew the other, but Shiba fell with his oath to protect unbroken.%0A%0AActivation: Once per game session, as a Support action using one readied weapon, you may make a TN 2 Tactics (Void) check targeting any number of friendly characters in range of your weapon.%0A%0AEffects: If you succeed, other characters cannot select your targets as the targets of their Attack or Scheme actions if they could select you instead. If an action has multiple targets, you must be the first target chosen. This effect persists for a number of rounds equal to your school rank.%0A%0ANew Opportunities%0AVoid (OP): If you succeed, increase the TN of Attack and Scheme checks targeting you by 1. This effect persists until the end of your next turn.",(Phoenix) Rank 2
Soaring Slice,"Jerking their arm in a sudden motion, the bushi hurls their weapon at the enemy, hoping to take the foe off guard or open a gap in their defenses.%0A%0AActivation: As an Attack action using one readied weapon in a one-handed grip, you may make a TN 2 Martial Arts check with the appropriate skill for the weapon targeting one character at range 2–3.%0A%0AEffects: You hurl your weapon at the target. If you succeed, you deal physical damage to the target equal to the weapon’s base damage plus your bonus successes. The weapon lands at range in a direction of your choice from the target if they defend against the damage, or embeds in them if they suffer a critical strike. If you fail, the weapon travels a number of range bands equal to the maximum range of the technique in the direction of the target.%0A%0ANew Opportunities%0A(OP)+: Treat the maximum range of this technique as 1 higher per (OP) spent this way.%0A(OP): Reduce the TN of the next Attack action against the target before the end of your next turn by 1.",Rank 1
Soul Sunder,"While bushi are generally less well equipped to deal with supernatural threats than shugenja, mastery of any art reveals how the world is all interconnected. Warriors deeply engaged with the mysteries of the sword can attune themselves to their ancestral blades to cut even those beings who walk between worlds and whose flesh steel normally will not bite.%0A%0AActivation: As a Support action, you may make a TN 4 Meditation (Void) check to attune your blade to the spirits of your honored ancestors.%0A%0AEffects: If you succeed, choose one readied weapon. It gains the Sacred quality, and when you use it to inflict a critical strike on an Otherworldly being, treat its deadli- ness as increased by your bonus successes. This effect persists until the end of your next turn.%0A%0ANew Opportunities%0AVoid (OP)+: This effect persists for one additional round per (OP) spent this way.%0AVoid (OP) (OP): Otherworldly beings cannot perform Attack actions targeting you until the start of your next turn. %0AVoid (OP) (OP): You may immediately perform a Strike action using your readied weapon.",Rank 5
Striking as Air,"Not every stroke a warrior throws in battle is intended to kill—even if they all lead to that end goal. A skilled fighter can tell when an attack will not land and subtly shift it into a different sort of attack, meant to probe the enemy’s defenses or draw their guard out of position. By carefully placing attack after attack, a master of the blade can eventually whittle down their opponent’s options until none remain but death.%0A%0AActivation: When you make a Martial Arts [Melee, Ranged, or Unarmed] (Air) check, you may spend (OP) in the following way:%0A%0AAir (OP)+: Reserve one of your rolled dice, plus one additional die per (OP) (OP) spent this way. These dice become dropped dice. When making a check with the same skill before the end of your next turn, you may roll one fewer (RNG) per reserved (RNG) and one fewer (SKL) per reserved (SKL), then add the reserved dice to your roll. These dice count as rolled dice, but are added set to the results they had when they were reserved.",Rank 1
Striking as Earth,"After striking, the bushi roots themself to the ground, hunkering down to make sure their armor takes the brunt of a hit or raising a weapon in a warding position where it can deflect harm without being damaged.%0A%0AActivation: When you make a Martial Arts [Melee, Ranged, or Unarmed] (Earth) check, you may spend (OP) in the following way:%0A%0AEarth (OP)+: Treat your physical resistance as 1 higher per (OP) spent this way until the beginning of your next turn.",Rank 1
Striking as Fire,"Victory cannot be achieved through defense alone, and it is a poor student of the sword who forgets that their most important goal is simple: cut down their enemy. All else fades to the background as the bushi fiercely presses the attack, trying to force an error or open an opportunity to end their foe.%0A%0AActivation: When you make a Martial Arts [Melee, Ranged, or Unarmed] (Fire) Attack action check, you may spend (OP) in the following way:%0A%0AFire (OP)+: The next time your target suffers a critical strike, increase its severity by 1 per (OP) spent this way. This effect persists until the end of your next turn.",Rank 1
Striking as Void,"The future is part of Void’s domain, infinite in possibility and unfathomable in depth. Because of its formlessness, one cannot scheme to undermine the uncertain future but the instant it takes shape, an action is vulnerable to countermeasures. The bushi rests until the last possible second, allowing the potential energy of their strike to take shape only after it is too late for their enemy to respond.%0A%0AActivation: When you make a Martial Arts [Melee, Ranged, or Unarmed] (Void) check, you may spend (OP) in the following ways:%0A%0AVoid (OP): Immediately switch to a different stance of your choice.%0AVoid (OP): If you fail, you may perform another action. This must be an action you have not yet performed this turn. You can only activate this opportunity once per round.",Rank 5
Striking as Water,"The finest armor is useless if a warrior can bypass it, slipping a blade through the gaps that allow the wearer to move or using blunt, concussive force to create a space. As the bushi strikes, they attempt to slide past the target’s defenses to deliver a lethal blow.%0A%0AActivation: When you make a Martial Arts [Melee, Ranged, or Unarmed] (Water) Attack action check, you may spend (OP) in the following way:%0A%0AWater (OP)+: Your target treats their physical resistance as 1 lower per (OP) spent this way. This effect persists until the end of your next turn.",Rank 1
Tactical Assessment,"Akodo’s Leadership and Bayushi’s Lies agree on a few topics, for both leaders were practical to a certain degree, even if Akodo famously scorned many of Bayushi’s methods. As the scholar Hida Fuyuko noted in her revelatory commentary on Leadership’s lessons for commanders on the Kaiu Wall, the most famous meeting of these two minds comes on the matter of preparation: battles are not won in the field, but in the leadup to the conflict. Even in small clashes, the warrior who better understands the terrain, the strength of their own forces, and the composition of the enemy’s troops is usually victorious.%0A%0AActivation: When you make an Initiative check, you may spend (OP) in the following way:%0A%0AAir (OP): Choose an enemy in the conflict. Learn one of their advantages (of their choice) and their physical or supernatural resistance (your choice).%0AEarth (OP): Choose a character in the conflict. They do not apply any of their disadvantages to their checks until the end of their first turn.%0AWater (OP): Choose a piece of terrain in the scene (see Terrain on page 267). Until the start of your first turn, it counts as having the Obscuring quality for Attack action checks targeting you and your allies.%0AFire (OP): Choose a character in the conflict and one of their advantages you know. Until the end of their first turn, they apply that advantage to all of their checks.",Rank 2
Warrior’s Resolve,"The bushi draws a deep breath, exhaling as they rise to their feet. Pain can be conquered as long as there is a duty to be done. Honor is stronger than steel, it is said, and it falls to the samurai to prove it.%0A%0AActivation: Once per scene, as a Support action, you may spend 1 Void point to recover.%0AEffects: Remove fatigue equal to your honor rank.",Rank 1
Coiling Serpent Style,"Entrapping techniques can be performed with many different weapons, from the kusari-gama wielded by brigands to the ornate, hook-headed polearms used by the Phoenix Clan’s greatest masters of the spear.%0A%0AActivation: When you make a Martial Arts [Melee] or Martial Arts [Unarmed] check using a Snaring weapon, you may spend (OP) in the following way:%0A%0A(OP)+: Choose one weapon a target has readied; that weapon cannot be used for Attack actions. This effect persists until the end of your next turn.%0A(OP) (OP)+: One target of your action per (OP) (OP) spent this way becomes Immobilized.%0A",Rank 2
Iaijutsu Cut: Crossing Blade,"The bushi twists their scabbard outward as they draw, cutting horizontally to extend their reach.%0A%0AActivation: As an Attack and Movement action using one sheathed Razor-Edged weapon, you may make a TN 2 Martial Arts [Melee] check targeting one character at range 1–2.%0A%0AEffects: You draw and ready the sheathed weapon in a one-handed grip.%0AIf you succeed, you deal physical damage to the target equal to the weapon’s deadliness plus your bonus successes.%0A%0ANew Opportunities%0A(OP): Ready one other sheathed Razor-Edged weapon.",Rank 2
Iaijutsu Cut: Rising Blade,"The bushi grips their scabbard against their hip and draws, cutting upward to catch an advancing foe without being cut themself.%0A%0AActivation: As an Attack action using one sheathed Razor-Edged weapon, you may make a TN 3 Martial Arts [Melee] check targeting one character at range 0–1. Effects: You draw and ready the sheathed weapon in a one-handed grip.%0A%0AIf you succeed, you deal physical damage to the tar- get equal to the weapon’s deadliness. Your target cannot defend against this damage if they are Compromised.%0A%0ANew Opportunities%0A(OP): Ready one other sheathed Razor-Edged weapon.",Rank 2
Iron Forest Style,"A bushi versed in the spear can control their spacing with their opponent, forcing their foe to risk impalement each time they advance or catching loose clothes or stray body parts on the head of the weapon. Akodo’s Leadership refers to such a technique as the Iron Forest style, which turns the length of a single spear into an insurmountable distance.%0A%0AActivation: When you make a Martial Arts [Melee] check using a polearm, you may spend (OP) in the following way: %0A%0A(OP)+: The area in range of your weapon counts as Dan- gerous terrain for one target of your action per (OP) spent this way. When an affected character attempts to move closer to you, they must make a TN 4 Fitness check (Air 2, Water 5); if they fail, they cannot advance. This effect persists until the start of your next turn.",Rank 2
Open-Hand Style,"Power does not come from speed alone. A master martial artist can apply force for maximum effect, making even gentle movements devastatingly effective blocks and strikes. With enough experience, a martial artist can even control their opponent’s stance.%0A%0AActivation: When you make a Martial Arts [Unarmed] check using a weapon with the Snaring quality, you may spend (OP) in the following way:%0A%0A(OP) (OP)+: One target of your action per (OP) (OP) spent this way must switch to a different stance of your choice. Targets of silhouette 3 or greater may resist with a TN 3 Fitness check and ignore this effect if they succeed.",Rank 2
Rushing Avalanche Style,"When adopting this style, the bushi strikes with reckless abandon using a heavy armament. Thanks to the sheer weight of their weapon and the ferocity of their strikes, even a glancing blow can cause serious harm, and a telling blow usually ends the battle.%0A%0AActivation: When you make a Martial Arts [Melee] check using a blunt weapon, you may spend (OP) in the following way:%0A%0A(OP): If you fail with a shortfall of two or less, your target suffers physical damage equal to your ranks in Fitness. %0A(OP): If you succeed and your target is Prone, increase the damage you deal by your ranks in Fitness.",Rank 2
Spinning Blades Style,"The biggest advantage of dual wielding does not usually stem from striking with two weapons simultaneously, largely because this is a very difficult feat. Instead, it comes from the fact that the warrior does not need to sacrifice defense while attacking or offense while defending. The off-hand blade can deflect and threaten even as the main-hand weapon attacks, or the bushi can strike with the offhand weapon while the main-hand weapon is locked with the foe’s blade. Either weapon can deliver death, and so the enemy must watch both at all times.%0A%0AActivation: When you make a Martial Arts [Melee] or Martial Arts [Unarmed] Attack action check, if you have a second readied weapon you did not use for the attack, you may spend (OP) in the following way:%0A%0A(OP)+: You must spend (OP) equal to your target’s Vigilance to activate this technique. You use your second read- ied weapon against one target of your action, inflicting physical damage equal to its base damage. If that target is Dazed, increase this damage by your ranks in the skill you used for the check.",Rank 2
Thunderclap Strike,"Sweeping their weapon in a wide arc, the bushi lashes out at their foes, driving them back to make an opening for their next move.%0A%0AActivation: As an Attack action using a readied weapon, you may make a TN 3 Martial Arts [Melee or Unarmed] (Air) check using the appropriate skill for that weapon targeting each character within the weapon’s range.%0A%0AEffects: If you succeed, each target suffers damage equal to your weapon’s base damage and must resist with a TN 3 Fitness check (Earth 4, Fire 1) or move 2 range bands directly away from you.%0A%0ANew Opportunities%0AAir (OP)+: Increase the TN of checks to resist the effect by 1 per (OP) spent this way.",Rank 3
Veiled Menace Style,"Assassination and other clandestine tactics are frowned upon by many samurai. None can deny the effectiveness of such techniques, however. By drawing their enemy’s gaze away from the true threat, a bushi can often tip the scales against a strong foe.%0A%0AActivation: When you make a Martial Arts [Melee] or Martial Arts [Unarmed] Attack action check using a weapon in a one-handed grip, you may spend (OP) in the following way:%0A%0A(OP)+: If you succeed, choose one unaware or Disoriented target of your action. That target suffers a critical strike with severity equal to your weapon’s deadliness plus 1 per (OP) spent this way beyond the first.%0A%0ARanged Combat Kata%0AThe following kata are performed with weapons that use the Martial Arts [Ranged] skill.",Rank 2
Hawk’s Precision,"While most bushi are expected to be proficient in the use of the bow, some are terrifyingly accurate, capable of hitting targets well beyond the expected engagement range.%0A%0AActivation: When you make a Martial Arts [Ranged] check, you may spend (OP) in the following way:%0A(OP)+: Treat the range of the weapon as 1 higher per (OP) spent this way, to a maximum of range 6.",Rank 1
Pelting Hail Style,"A volley of arrows on the battlefield can be deadly, but most importantly from a strategic standpoint, it is terrifying to even the staunchest veterans. Even if only one in ten shots finds its mark, the salvo rattles opponents and forces caution.%0A%0AActivation: When you make a Martial Arts [Ranged] check, you may spend (OP) in the following way:%0A%0A(OP)+: Choose a number of other characters at range 0–2 of your target equal to (OP) spent this way. Each chosen character receives strife equal to the base damage of your weapon.",Rank 2
Pin the Fan,"While it is difficult to kill at range with a single arrow, it can certainly be done, and master archers have been performing legendary feats of precision since the early days of Rokugan. From Hantei Genji’s famous shots to the arrow loosed by Doji Hotaru that slew Akodo Arasou, killing shots have often changed the course of the Emerald Empire’s history.%0A%0AActivation: As an Attack and Movement action using a readied ranged weapon, you may make a Martial Arts [Ranged] check targeting one character within your weapon’s range. The TN of the check is equal to the target’s vigilance plus the range of the attack.%0AEffects: If you succeed, the target suffers damage equal to two times the weapon’s base damage plus your bonus successes.%0A%0ANew Opportunities%0A(OP): If the target becomes Incapacitated as a result of damage from this action, they suffer a critical strike with severity equal to two times the weapon’s deadliness damage plus your bonus successes.",Rank 5
Cleansing Spirit,"The monk centers their ki, then reaches out and touches another character, counterbalancing their turbulent energies with the stillness of the monk’s own soul. This restores the character’s spirit, driving out poison, disease, and even the grip of evil spirits, provided they have not yet taken root in the character’s soul.%0A%0AActivation: As a Support action, may make a TN 1 Theology (Earth) check to bolster your spiritual resilience. When you perform this action, you may choose one other character at range 0–1 as the target for the burst effect. %0A%0AEnhancement Effect: If you succeed, this kihō activates. While this kihō is active, reduce the TN of all your checks to resist poison, disease, mahō, the Defiled terrain quality, and the effects of Otherworldly and Tainted beings by your Earth Ring.%0A%0ABurst Effect: If you have two or more bonus successes, remove one of the following conditions from your target: Afflicted, Bleeding, Dazed, Disoriented, Dying, Fatigued, or Intoxicated.",Rank 1
Earth Needs No Eyes,"The monk who waits and listens sees much, even without eyes. Sending out waves of their own energy and letting the ki of the life around them flow back into their body through the ground, the monk feels the reverberations of everything moving nearby, from the thunderous breaths of a warrior in battle to the footsteps of the tiniest ants.%0A%0AActivation: As a Support action, you may activate this kihō. When you do so, you may make a TN 1 Meditation (Earth) check to gain an awareness of your surroundings.%0A%0AEnhancement Effect: If you succeed, this kihō activates. While this kihō is active, you can use vibrations through the earth to “see” a number of range bands in all directions equal to your Earth Ring. While this kihō is active, increase your vigilance by your Earth Ring. %0A%0ABurst Effect: If you succeed with three or more bonus successes, you instantly become aware of all living creatures and objects touching the ground within a number of range bands equal to your Earth Ring plus your bonus successes.",Rank 1
Earthen Fist,"Placing their hand on the ground, the monk draws forth the hardness of stone, pulling up clumps of rocky soil that coat their skin or invisibly reinforcing their bones and muscles with the durability of granite.%0A%0AActivation: As an Attack and Support action, you may make a TN 1 Martial Arts [Unarmed] (Earth) check to empower your unarmed blows. When you perform this action, you may choose a character at range 0–1 as the target for the burst effect.%0A%0AEnhancement Effect: While this kihō is active, treat the base damage of your unarmed punch and kick profiles (see page 237) as being increased by your Earth Ring. While this kihō is active, increase your physical resistance by 1.%0A%0ABurst Effect: If you succeed with two or more bonus successes, you deal physical damage to the target equal to your Earth Ring, and your target must resist with a TN 4 Fitness check (Air 2, Water 5) or suffer the Prone condition.",Rank 1
Grasp the Earth Dragon,"Planting a foot on the ground and taking a wide stance, the monk stomps, sending reverberations of ki rushing down into the depths. An instant later, the monk’s body is filled with the resilience of bedrock; stones rise and orbit their body to deflect attacks, rocks adhere to their flesh forming rocky scales, or their flesh becomes as difficult to crack as granite.
%0A%0AActivation: As a Movement and Support action, you may make a TN 2 Meditation (Earth) check to shield yourself from harm.
%0AEnhancement Effect: If you succeed, this kihō activates. While this kihō is active, reduce the severity of all critical strikes you suffer from physical sources by your Earth Ring.
%0AWhile this kihō is active, after a character performs an Attack action against you, you may spend 1 Void point to cause them to suffer fatigue equal to your ranks in Fitness.
%0ABurst Effects: If you have three or more bonus successes, reduce all physical damage you suffer to 1. After any character deals physical damage to you, they suffer the Prone condition. This effect persists until the end of your next turn.",Rank 3
Way of the Earthquake,"The monk slams a hand or foot into the ground, and the earth itself shudders under the weight of the blow as their ki rushes through the soil. Nearby enemies are hurled to the ground and find it shifting treacherously underneath them as they struggle to rise.
%0A%0AActivation: As an Attack and Support action, you may make a TN 2 Martial Arts [Unarmed] (Earth) check to control the earth around you. When you perform this action, you may choose any number of other characters at range 0–1 as targets for the burst effect.
%0AEnhancement Effect: If you succeed, this kihō activates. While this kihō is active, after you perform an Attack or Support action, or defend against damage, you may choose one other character at range 0–2 who must resist with a TN 4 Fitness check (Air 2, Water 5) or suffer physical damage equal to your Earth Ring and the Prone condition.
%0ABurst Effect: If you have two or more bonus successes, each target suffers physical damage equal to your Earth Ring. Each Prone target suffers physical damage equal to your Earth Ring plus your bonus successes and the Immobilized condition instead.",Rank 2
Air Fist,"The monk swirls their hands in an intricate pattern, channeling their ki into the air and turning even a placid breeze into a funnel of roaring wind. A gale follows the monk’s strikes, hurling foes back and slamming them against intervening objects.
%0A%0AActivation: As an Attack and Support action, you may make a TN 1 Martial Arts [Unarmed] (Air) check to empower your unarmed blows. When you perform this action, you may choose one other character at range 0–1 as the target for the burst effect.
%0AEnhancement Effect: If you succeed, this kihō activates. While this kihō is active, treat the maximum range of your punch and kick unarmed weapon profiles (see page 237) as equal to your Air Ring.
%0ABurst Effect: If you have two or more bonus successes, you deal physical damage to the target equal to your Air Ring. Your target must make a TN 4 Fitness check (Earth 5, Fire 2) or be pushed 1 range band away from you, plus a number of range bands equal to their shortfall.",Rank 1
Riding the Clouds,"The monk inhales and lets go their earthly bonds to ascend to new heights. Lifted by a small tornado, an invisible current of air, or even a cloud, the monk can
move far more freely. While this current of wind does not fully negate the effects of gravity, it allows the user to traverse terrain they otherwise could not and
enhances their athleticism greatly.
%0A%0AActivation: As a Movement and Support action, you may make a TN 2 Meditation (Air) check to move on a pillar of air.
%0AEnhancement Effect: While this kihō is active, when you move 1 or more range bands, you may move that number of range bands plus 1, and you may move 1 of those range bands vertically or horizontally. Additionally, you may ignore the effects of terrain while moving (see Terrain, on page 267).
%0AWhile this kihō is active, if you fall, you treat the distance as 1 range band (see Falling, on page 269).
%0ABurst Effect: If you have one or more bonus successes, you may immediately move 1 range band, plus one additional range band for each bonus success. You may make this move vertically or horizontally, and you ignore the negative effects of terrain while moving.",Rank 2
The Great Silence,"The monk swirls their hands in a spiral, pulling noise inward and stealing even the reverberations that sounds make through the air. Lies die on the lips unspoken,
and prayers never reach the spirits for whom they were intended. Skilled practitioners often maintain this technique, twisting the wind around them to steal away
pernicious words and wicked prayers alike.
%0A%0AActivation: As a Scheme and Support action, you may activate this kihō, you may make a TN 1 Theology (Air) check to create an area of silence around you.
%0AEnhancement Effect: If you succeed, this kihō activates. While this kihō is active, increase the TN of Scheme action checks targeting you by one plus your
ranks in Command.
%0ABurst Effect: If you have two or more bonus successes, characters at range 0–3 suffer the Silenced condition (see page 273) and cannot hear. This effect persists until the beginning of your next turn.
",Rank 1
Way of the Willow,"The oak stands firm against the storm and breaks, but the willow survives it by bending. The monk dances on the wind like the willow, feeling the currents of ki upon the air and moving out of the way of attacks effortlessly.
%0A%0AActivation: As a Movement and Support action, you may make a TN 3 Meditation (Air) check to adjust your defenses to the tempo of your foes’ strikes, making yourself much harder to hit.
%0AEnhancement Effect: If you succeed, this kihō activates. While this kihō is active, when a character performs an Attack action check targeting you, reduce any damage you suffer by 2 for each kept die containing (SCS).
%0ABurst Effect: If you have two or more bonus successes, increase the TN of Attack action checks targeting you by your ranks in Meditation until the beginning of your next turn.",Rank 3
Breaking Blow,"A kihō practitioner skilled in aligning their energy to the element of Fire can deliver a strike that forces a spark of ki into an object and ignites the latent energy
within; causing the object to explode or shatter.
%0A%0AActivation: As an Attack and Support action, you may make a TN 1 Martial Arts [Unarmed] (Fire) check to enhance your unarmed blows. When you perform this action, you may choose one object at range 0–1 as the target for the burst effect.
%0AEnhancement Effect: If you succeed, this kihō activates. While this kihō is active, when you succeed at a Martial Arts [Unarmed] check against a target, choose one worn piece of armor or readied weapon in one target’s possession. It gains the Damaged quality (see page 240) unless the target chooses to receive 2 fatigue.
%0ABurst Effect: If you have two or more bonus successes, the chosen object gains the Damaged quality (see page 240). At the GM’s discretion, this can also be
used to shatter tough mundane objects, such as wooden doors, earthen walls, and trees.
%0AIf you have four or more bonus successes, the chosen object gains the Destroyed quality instead. At the GM’s discretion, this can be used to destroy even reinforced mundane objects, such as metal doors and stone walls.
",Rank 1
Channel the Fire Dragon,"Fire is not just destruction; it is also life. The monk inhales sharply, igniting their ki to strengthen themself. While this life-giving fire smolders within their lungs, the monk is largely immune to cold weather and flames alike. Ki practitioners experienced in this art can even exhale scorching torrents of flame.
%0A%0AActivation: As an Attack and Support action, you may make a TN 2 Meditation (Fire) check to kindle the flames of your ki. When you perform this action, you may choose to have each other character at range 0–1 become a target for the burst effect.
%0AEnhancement Effect: If you succeed, this kihō activates. While this kihō is active, you automatically succeed on all checks to resist extreme weather, with
bonus successes equal to your Fire Ring.
%0AWhile this kihō is active, if you would suffer damage from physical or supernatural fire (e.g. Fire invocations and kihō), you may spend 1 Void point to prevent that damage and remove that much fatigue instead.
%0ABurst Effect: If you have 2 or more bonus successes, each target must resist with a TN 4 Fitness check (Air 5, Water 2) or suffer physical damage equal to
your Fire Ring and the Burning condition. Flammable objects in this area ignite, transforming it into Dangerous terrain (see page 267) at the GM’s discretion.",Rank 2
Flame Fist,"The monk throws a rapid, reckless strike, and flame streams out, seizing and charring whatever the monk touches. While sustaining this kihō, the monk’s hands
and feet trail fire, lending power to their strikes.
%0A%0AActivation: As an Attack and Support action, you may make a TN 1 Martial Arts [Unarmed] (Fire) check to empower your unarmed blows. When you perform this action, you may choose a character at range 0–1 as the target for the burst effect.
%0AEnhancement Effect: If you succeed, this kihō activates. While this kihō is active, treat the deadliness of your unarmed punch and kick profiles (see page 237)
as increased by your Fire Ring and treat their damage type as supernatural.
%0ABurst Effects: If you have two or more bonus successes, your target suffers physical damage equal to your Fire Ring and must make a TN 4 Fitness check (Air 5, Water 2) or suffer the Dazed condition.",Rank 1
